,Title,Rating,Price,Review
0,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.3,"₹9,499","4.31,57,535 Ratings & 9,050 Reviews"
1,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.3,"₹9,499","4.31,57,535 Ratings & 9,050 Reviews"
2,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.3,"₹9,499","4.31,57,535 Ratings & 9,050 Reviews"
3,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.2,"₹6,999","4.229,774 Ratings & 1,644 Reviews"
4,"POCO C51 (Royal Blue, 64 GB)",4.2,"₹6,499","4.222,592 Ratings & 982 Reviews"
5,"POCO C51 (Power Black, 64 GB)",4.2,"₹6,499","4.222,592 Ratings & 982 Reviews"
6,"POCO M4 5G (Cool Blue, 64 GB)",4.2,"₹10,999","4.283,383 Ratings & 5,840 Reviews"
7,"POCO C50 (Royal Blue, 32 GB)",4.2,"₹5,499","4.240,325 Ratings & 1,888 Reviews"
8,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.3,"₹10,499","4.31,57,535 Ratings & 9,050 Reviews"
9,"POCO C55 (Cool Blue, 64 GB)",4.2,"₹7,999","4.231,644 Ratings & 1,803 Reviews"
10,"POCO C55 (Forest Green, 64 GB)",4.2,"₹7,999","4.231,644 Ratings & 1,803 Reviews"
11,"REDMI 11 Prime (Flashy Black, 128 GB)",4.4,"₹10,499","4.42,587 Ratings & 88 Reviews"
12,"REDMI 11 Prime (Peppy Purple, 128 GB)",4.4,"₹10,499","4.42,587 Ratings & 88 Reviews"
13,"REDMI 11 Prime (Playful Green, 128 GB)",4.4,"₹10,499","4.42,587 Ratings & 88 Reviews"
14,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.3,"₹10,499","4.31,57,535 Ratings & 9,050 Reviews"
15,"POCO C55 (Power Black, 64 GB)",4.2,"₹7,999","4.231,644 Ratings & 1,803 Reviews"
16,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹15,999","4.416,044 Ratings & 891 Reviews"
17,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹15,999","4.416,044 Ratings & 891 Reviews"
18,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹15,999","4.416,044 Ratings & 891 Reviews"
19,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹13,999","4.463,809 Ratings & 3,486 Reviews"
20,"vivo T2x 5G (Glimmer Black, 128 GB)",4.4,"₹12,999","4.435,743 Ratings & 1,813 Reviews"
21,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹12,999","4.435,743 Ratings & 1,813 Reviews"
22,"vivo T2x 5G (Marine Blue, 128 GB)",4.4,"₹13,999","4.463,809 Ratings & 3,486 Reviews"
23,"vivo T2x 5G (Aurora Gold, 128 GB)",4.4,"₹12,999","4.435,743 Ratings & 1,813 Reviews"
